name,symbol,category,n_obs,pearson,spearman
russell_1000_growth,IWF,broad_index_etf,4005,0.9884731747918349,0.9543014833276497
tech_sector,XLK,us_sector_etf,4005,0.9677667774696325,0.9121979032416644
russell_1000,IWB,broad_index_etf,4005,0.9523825684441724,0.8919152470716659
total_us_market,VTI,broad_index_etf,4005,0.9513943502484465,0.888546314941863
sp500_spy,SPY,broad_index_etf,4005,0.9497380438712536,0.8843581280345972
sp500_voo,VOO,broad_index_etf,4005,0.9483031119504995,0.882756657315786
quality_factor,QUAL,broad_index_etf,4005,0.9304310258783759,0.8340111157895237
all_country,ACWI,country_etf,4005,0.9254228537312305,0.8424743020230163
consumer_disc_sector,XLY,us_sector_etf,4005,0.9031424200161055,0.7901527041971288
momentum_factor,MTUM,broad_index_etf,4005,0.901569012949353,0.8130004522949881
comm_services_sector,XLC,us_sector_etf,2795,0.8849568784315872,0.7727295367325919
semis_vaneck,SMH,us_industry_etf,4005,0.8747675880944745,0.792720312576312
semis_ishares,SOXX,us_industry_etf,4005,0.8719548531996354,0.7875261672957246
dow_jones,DIA,broad_index_etf,4005,0.8366218343452865,0.6929053949621109
russell_2000,IWM,broad_index_etf,4005,0.8272541535117284,0.7184235497461665
russell_1000_value,IWD,broad_index_etf,4005,0.8000175650376662,0.6465980981158703
netherlands,EWN,country_etf,4005,0.7992839125285193,0.6792859839096964
developed_ex_us,VEA,country_etf,4005,0.7899895886263664,0.6756577942215453
eafe,EFA,country_etf,4005,0.780240211473259,0.661494018043752
industrials_sector,XLI,us_sector_etf,4005,0.7635113758444027,0.6100203539754111
