name,symbol,category,n_obs,pearson,spearman
russell_1000_growth,IWF,broad_index_etf,4005,0.9884731747918349,0.9543014833276497
tech_sector,XLK,us_sector_etf,4005,0.9677667774696325,0.9121979032416644
russell_1000,IWB,broad_index_etf,4005,0.9523825684441724,0.8919152470716659
total_us_market,VTI,broad_index_etf,4005,0.9513943502484465,0.888546314941863
sp500_spy,SPY,broad_index_etf,4005,0.9497380438712536,0.8843581280345972
sp500_voo,VOO,broad_index_etf,4005,0.9483031119504995,0.882756657315786
all_country,ACWI,country_etf,4005,0.9254228537312305,0.8424743020230163
quality_factor,QUAL,broad_index_etf,4005,0.9304310258783759,0.8340111157895237
momentum_factor,MTUM,broad_index_etf,4005,0.901569012949353,0.8130004522949881
semis_vaneck,SMH,us_industry_etf,4005,0.8747675880944745,0.792720312576312
consumer_disc_sector,XLY,us_sector_etf,4005,0.9031424200161055,0.7901527041971288
semis_ishares,SOXX,us_industry_etf,4005,0.8719548531996354,0.7875261672957246
comm_services_sector,XLC,us_sector_etf,2795,0.8849568784315872,0.7727295367325919
russell_2000,IWM,broad_index_etf,4005,0.8272541535117284,0.7184235497461665
dow_jones,DIA,broad_index_etf,4005,0.8366218343452865,0.6929053949621109
blockchain_amplify,BLOK,crypto_equity,2934,0.7292521357949393,0.6902097759065811
netherlands,EWN,country_etf,4005,0.7992839125285193,0.6792859839096964
developed_ex_us,VEA,country_etf,4005,0.7899895886263664,0.6756577942215453
eafe,EFA,country_etf,4005,0.780240211473259,0.661494018043752
russell_1000_value,IWD,broad_index_etf,4005,0.8000175650376662,0.6465980981158703
high_yield_corp,HYG,us_bond_etf,4005,0.7148586353426728,0.6325973657079016
emerging_markets,VWO,country_etf,4005,0.7369721919188551,0.6221891801420718
biotech_ishares,IBB,us_industry_etf,4005,0.7174310518688929,0.6140511028015109
industrials_sector,XLI,us_sector_etf,4005,0.7635113758444027,0.6100203539754111
germany,EWG,country_etf,4005,0.7247516687174944,0.6093571112296274
bitwise_crypto_innov,BITQ,crypto_equity,1771,0.6549864899253999,0.6067689802453184
global_x_blockchain,BKCH,crypto_equity,1712,0.6409939478823828,0.5933530333281547
canada,EWC,country_etf,4005,0.7191533009232068,0.5864211307108672
japan,EWJ,country_etf,4005,0.6948953971232668,0.5813584824674759
australia,EWA,country_etf,4005,0.722570277856987,0.5781912142360851
biotech_equal_weight,XBI,us_industry_etf,4005,0.6846043893197418,0.5753106054357617
homebuilders,XHB,us_industry_etf,4005,0.6907455958434509,0.5692614211819375
france,EWQ,country_etf,4005,0.6981373572161762,0.5680687390700982
materials_sector,XLB,us_sector_etf,4005,0.7188049394427819,0.5636388736788418
south_korea,EWY,country_etf,4005,0.6530008143869732,0.5557718976366223
coinbase,COIN,crypto_equity,1799,0.5865104347199546,0.5420283875337377
financials_sector,XLF,us_sector_etf,4005,0.7057788688496729,0.5388387926509589
united_kingdom,EWU,country_etf,4005,0.6659168632142264,0.5387397731632423
switzerland,EWL,country_etf,4005,0.6740415465705121,0.5346444118749832
healthcare_sector,XLV,us_sector_etf,4005,0.6889508002335752,0.5304064566305162
aerospace_defence,ITA,us_industry_etf,4005,0.659385763678334,0.5122618277689438
microstrategy,MSTR,crypto_equity,4005,0.47283949014368726,0.4986057968908986
airlines,JETS,us_industry_etf,3893,0.5883141098431444,0.48163988922829715
banks,KBE,us_industry_etf,4005,0.5899721899881555,0.4557129574963974
regional_banks,KRE,us_industry_etf,4005,0.5571334605897398,0.43001895271934054
em_bonds_usd,EMB,international_bond_etf,4005,0.5453220592519031,0.41512613388918757
real_estate_sector,XLRE,us_sector_etf,3738,0.5935615261310396,0.40094785649977077
riot_platforms,RIOT,crypto_equity,3573,0.40204412730621714,0.3886054205340727
hut_8_mining,HUT,crypto_equity,2894,0.3883107618357031,0.3796345833647382
ishares_bitcoin_etf,IBIT,crypto_equity,839,0.4359260824584794,0.3772527203436046
em_bonds_local,EMLC,international_bond_etf,4005,0.4571472264289601,0.35670270345301797
consumer_stap_sector,XLP,us_sector_etf,4005,0.5442008029413806,0.35507883299888243
marathon_digital,MARA,crypto_equity,4005,0.3397204103072105,0.3387158366937825
cleanspark,CLSK,crypto_equity,3349,0.23134736483748908,0.3178915951378688
pipelines,AMLP,us_industry_etf,4005,0.433999073441045,0.31207651863327435
oil_gas_exploration,XOP,us_industry_etf,4005,0.4445677567073182,0.300634548008272
energy_sector,XLE,us_sector_etf,4005,0.46696555628529857,0.2990624337881301
polkadot,DOT-USD,crypto_token,2024,0.3103376812956352,0.2839290562046035
avalanche,AVAX-USD,crypto_token,1998,0.31673416350802286,0.282895999794187
solana,SOL-USD,crypto_token,2150,0.28885087988212965,0.2525152120416083
grayscale_bitcoin,GBTC,crypto_equity,3882,0.2809206721239149,0.24961607626333138
ethereum,ETH-USD,crypto_token,3005,0.32084642590560813,0.24578063196859598
cardano,ADA-USD,crypto_token,3005,0.2571353194828558,0.23403619637767273
utilities_sector,XLU,us_sector_etf,4005,0.4137723494559752,0.2310207643234808
chainlink,LINK-USD,crypto_token,3005,0.2643087959115446,0.22202305894816168
ripple,XRP-USD,crypto_token,3005,0.21715543764894973,0.21342297749223949
dogecoin,DOGE-USD,crypto_token,3005,0.1904710668194494,0.21185780436238097
binance_coin,BNB-USD,crypto_token,3005,0.24456347419365757,0.1969981131772912
bitcoin,BTC-USD,crypto_token,4005,0.2475210806238439,0.18290114071072533
litecoin,LTC-USD,crypto_token,4005,0.2046498109914434,0.17075757035769332
investment_grade_corp,LQD,us_bond_etf,4005,0.27166390907064714,0.16718751603699022
gold_miners,GDX,us_industry_etf,4005,0.19337348201028445,0.1495016960508326
intl_treasury_bwx,BWX,international_bond_etf,4005,0.11561946858255195,0.10206609604282091
us_10y_yield,^TNX,us_bond_yield,4005,0.11345706969559452,0.09058991838643743
us_5y_yield,^FVX,us_bond_yield,4005,0.09882100378684881,0.08854390341370202
us_30y_yield,^TYX,us_bond_yield,4005,0.12348915042656727,0.08075453136373885
intl_treasury_igov,IGOV,international_bond_etf,4005,0.111883612817239,0.0765059978770503
intl_aggregate_bndx,BNDX,international_bond_etf,4005,0.12269766969488789,0.05362913988957531
us_aggregate_bond,AGG,us_bond_etf,4005,0.11343791291889112,0.03866607476974003
tips_inflation,TIP,us_bond_etf,4005,0.05369596438997066,0.033054985434999754
vanguard_total_bond,BND,us_bond_etf,4005,0.11946241182055285,0.0197869996581998
us_3m_yield,^IRX,us_bond_yield,4005,0.039313543550303504,0.014816796385441429
treasury_1_3y,SHY,us_bond_etf,4005,-0.05425044574692838,-0.05032902799792413
treasury_20y_plus,TLT,us_bond_etf,4005,-0.1343652395421615,-0.08344577488832433
treasury_7_10y,IEF,us_bond_etf,4005,-0.11891078358825445,-0.08834385461756848
us_treasury_broad,GOVT,us_bond_etf,4005,-0.12982459060284515,-0.09275569597558077
treasury_3_7y,IEI,us_bond_etf,4005,-0.10550691392725008,-0.09517640676874907
